cue,constant1,timestamp,stimulus_coherence,response_time,response,constant2
2.0,30.0,592485.100330125,85.0,0.7530625839717686,1.0,1.0
2.0,30.0,592486.242332333,90.0,0.9745842500124127,2.0,1.0
2.0,30.0,592486.961310291,90.0,0.7720801249379292,1.0,1.0
2.0,30.0,592487.836326,85.0,0.7402845000615343,1.0,1.0
2.0,30.0,592488.753309375,85.0,0.7388644170714542,1.0,1.0
2.0,30.0,592489.919336458,85.0,0.9845611249329522,2.0,1.0
2.0,30.0,592490.686308708,95.0,0.8341873330064118,1.0,1.0
2.0,30.0,592491.857317875,75.0,1.0910043340409175,2.0,1.0
2.0,30.0,592492.425322125,85.0,0.7368469589855522,1.0,1.0
2.0,30.0,592493.290317958,80.0,0.6827417500317097,1.0,1.0
2.0,30.0,592494.321303625,90.0,0.7868292919592932,1.0,1.0
2.0,30.0,592495.372303458,95.0,0.9249705420807004,2.0,1.0
2.0,30.0,592496.331304583,90.0,0.9661602079868317,2.0,1.0
2.0,30.0,592497.232307458,90.0,0.9512249999679625,2.0,1.0
2.0,30.0,592498.280290791,80.0,1.085688624996692,2.0,1.0
2.0,30.0,592498.947286333,95.0,0.8278007499175146,1.0,1.0
1.0,30.0,592499.697301958,75.0,0.6547612500144169,1.0,-1.0
2.0,30.0,592500.571298208,70.0,0.6116691249189898,1.0,1.0
2.0,30.0,592501.58028975,80.0,0.7043735840125009,1.0,1.0
2.0,30.0,592502.624292833,95.0,0.8321405419846997,1.0,1.0
2.0,30.0,592503.388286333,80.0,0.6807810829486698,1.0,1.0
2.0,30.0,592504.213297583,70.0,0.5904072500998154,1.0,1.0
2.0,30.0,592505.2182845,80.0,0.6728479999583215,1.0,1.0
2.0,30.0,592506.199287583,85.0,0.731773667037487,1.0,1.0
2.0,30.0,592507.15629925,90.0,0.7633884589886293,1.0,1.0
2.0,30.0,592508.123275125,95.0,0.8160305001074448,1.0,1.0
2.0,30.0,592509.346272083,70.0,1.1256798750255257,2.0,1.0
2.0,30.0,592510.057266291,95.0,0.9307528330245987,2.0,1.0
2.0,30.0,592511.131271375,75.0,1.0781008750200272,2.0,1.0
2.0,30.0,592512.023242791,80.0,1.0533235829789191,2.0,1.0
2.0,30.0,592512.821251791,95.0,0.93870433291886,2.0,1.0
2.0,30.0,592513.714262083,95.0,0.909337375080213,2.0,1.0
2.0,30.0,592514.857253375,70.0,1.131820417009294,2.0,1.0
2.0,30.0,592515.582231583,90.0,0.9394762079464272,2.0,1.0
2.0,30.0,592516.280257,85.0,0.7190470000496134,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,30.0,592517.964231833,70.0,0.5743559580296278,1.0,1.0
2.0,30.0,592518.854248625,65.0,0.5390149590093642,1.0,1.0
2.0,30.0,592520.14323625,95.0,0.9070599169936031,2.0,1.0
2.0,30.0,592520.917239333,90.0,0.7575141669949517,1.0,1.0
2.0,30.0,592522.26423925,65.0,1.1829629170242697,2.0,1.0
2.0,30.0,592522.828233,95.0,0.8256865000585094,1.0,1.0
2.0,30.0,592523.733235125,95.0,0.8216832089237869,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,30.0,592525.400216,75.0,0.6624770420603454,1.0,1.0
2.0,30.0,592526.471226625,95.0,0.8116613749880344,1.0,1.0
2.0,30.0,592527.428221583,100.0,0.8433597079711035,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,30.0,592529.350216125,95.0,0.933563334052451,2.0,1.0
2.0,30.0,592530.162219166,95.0,0.8275389160262421,1.0,1.0
2.0,30.0,592530.936204583,80.0,0.685005082981661,1.0,1.0
2.0,30.0,592531.977203166,95.0,0.8142810410354286,1.0,1.0
2.0,30.0,592533.042199791,90.0,0.9627634999342263,2.0,1.0
2.0,30.0,592533.869208458,100.0,0.8681716249557212,1.0,1.0
2.0,30.0,592534.642229041,85.0,0.7244562909472734,1.0,1.0
2.0,30.0,592535.974207208,70.0,1.1306859580799937,2.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,30.0,592537.533202458,100.0,0.8503008750267327,1.0,1.0
2.0,30.0,592538.557205375,90.0,0.9560251249931753,2.0,1.0
2.0,30.0,592539.295191333,90.0,0.7714256250765175,1.0,1.0
2.0,30.0,592540.132188958,80.0,0.6894515829626471,1.0,1.0
2.0,30.0,592540.974200291,75.0,0.6175641249865294,1.0,1.0
2.0,30.0,592541.875188708,70.0,0.6004880829714239,1.0,1.0
2.0,30.0,592542.664161875,55.0,0.4706735840300098,1.0,1.0
2.0,30.0,592544.003176208,100.0,0.891626707976684,1.0,1.0
2.0,30.0,592544.918155541,95.0,0.8883574159117416,2.0,1.0
2.0,30.0,592546.077178916,70.0,1.1332708329427987,2.0,1.0
2.0,30.0,592546.731194583,100.0,0.8664224999956787,1.0,1.0
1.0,30.0,592547.360186375,70.0,0.571345292031765,1.0,-1.0
2.0,30.0,592548.444152833,85.0,0.7374240419594571,1.0,1.0
2.0,30.0,592549.283163416,75.0,0.6583270409610122,1.0,1.0
2.0,30.0,592550.236159166,80.0,0.6966704999795184,1.0,1.0
2.0,30.0,592551.141157625,80.0,0.6881789589533582,1.0,1.0
2.0,30.0,592551.993156875,75.0,0.6339007919887081,1.0,1.0
2.0,30.0,592552.770151416,60.0,0.4894088329747319,1.0,1.0
2.0,30.0,592553.728152916,60.0,0.5218130409484729,1.0,1.0
2.0,30.0,592554.66413425,65.0,0.5411850840318948,1.0,1.0
2.0,30.0,592555.844150666,95.0,0.814358041039668,1.0,1.0
2.0,30.0,592556.646128916,80.0,0.696458249934949,1.0,1.0
2.0,30.0,592558.003139791,70.0,1.1276870829751715,2.0,1.0
2.0,30.0,592558.590143625,90.0,0.7936870420817286,1.0,1.0
2.0,30.0,592559.836139333,75.0,1.1234566669445485,2.0,1.0
2.0,30.0,592560.551139416,95.0,0.9173767080064863,2.0,1.0
2.0,30.0,592561.312133416,90.0,0.7585571659728885,1.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,30.0,592563.171127083,90.0,0.7905427500372753,1.0,1.0
2.0,30.0,592564.103109458,95.0,0.8057637079618871,1.0,1.0
2.0,30.0,592565.063124958,95.0,0.8403717499459162,1.0,1.0
2.0,30.0,592565.963112666,95.0,0.8252619580598548,1.0,1.0
2.0,30.0,592566.837119875,90.0,0.7804018340539187,1.0,1.0
2.0,30.0,592567.642116,80.0,0.6717308339430019,1.0,1.0
2.0,30.0,592569.109111416,60.0,1.218849666067399,2.0,1.0
2.0,30.0,592569.947107125,70.0,1.1445396669441834,2.0,1.0
2.0,30.0,592570.627114375,95.0,0.904171000001952,2.0,1.0
1.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,30.0,592572.414125791,100.0,0.8611187080387026,1.0,1.0
2.0,30.0,592573.206117625,85.0,0.7344903750345111,1.0,1.0
